Location,TFR_1953,NRR_2048,Births_2033,LExMale_2048,IMR_1953,CDR_1978,CDR_2008,CDR_2028,GrowthRate_1988,GrowthRate_1993,GrowthRate_2008,SRB_2008,MAC_1963,MAC_2008,MAC_2038,target
Republic of Korea,5.653,0.786,2207.123,84.22,137.985,7.204,5.242,7.741,1.01,1.077,0.344,1.07,30.209,30.246,33.502,1
Republic of Moldova,3.5,0.739,147.857,71.97,81.249,10.238,12.186,12.593,0.696,-0.115,-0.355,1.056,29.12,26.455,29.207,3
Romania,3.06,0.826,819.992,77.45,90.921,9.742,12.471,13.589,0.331,-0.451,-0.947,1.058,26.296,26.866,30.186,1
Russian Federation,2.85,0.9,6903.209,71.08,100.465,10.422,14.943,13.839,0.632,0.098,-0.065,1.058,27.755,26.987,30.714,2
Rwanda,8,1.12,2012.751,71.62,160.386,19.633,9.135,5.377,3.349,-3.987,2.613,1.01,31.567,30.782,29.434,3
Réunion,6.929,0.928,62.97,82.97,141.852,6.355,5.191,6.799,1.776,1.963,0.96,1.03,30.216,28.478,28.159,2
Saint Lucia,6,0.758,8.937,78.97,148.141,7.278,6.556,8.207,1.78,1.243,1.055,1.03,28.682,27.849,28.637,3
Saint Vincent and the Grenadines,7.33,0.817,6.762,74.69,122.02,7.995,7.281,8.452,0.572,0.114,0.104,1.03,27.912,27.156,27.979,1
Samoa,7.63,1.355,24.728,79.23,107.29,9.414,5.55,5.142,0.351,0.876,0.686,1.08,30.27,30.143,30.622,3
Sao Tome and Principe,6.2,1.426,40.107,67.58,124.44,10.36,7.677,5.874,1.888,2.093,2.321,1.03,28.23,28.567,29.342,1
Saudi Arabia,7.175,0.867,2557.58,78,201.64,9.746,3.624,4.378,4.268,2.753,2.747,1.03,30.602,31.828,32.12,2
Senegal,6.8,1.541,3368.782,71.53,127.739,18.688,8.185,4.723,3.057,2.927,2.76,1.036,29.16,29.914,30.567,1
Serbia,3.22,0.835,404.866,77.32,117.522,9.408,12.392,13.29,0.563,0.756,-0.406,1.052,26.376,27.843,30.685,1
Seychelles,5,0.903,5.975,75.31,85.05,7.369,7.458,9.057,0.224,1.651,0.59,1.06,27.832,27.515,28.22,1
Sierra Leone,6.03,1.128,1370.462,60.9,235.855,24.705,17.366,10.401,2.532,-0.174,2.646,1.018,28.724,29.381,28.054,3
Singapore,6.61,0.657,240.791,85.62,60.98,5.152,4.488,6.791,2.152,2.875,2.442,1.073,29.671,30.546,31.317,2
Slovakia,3.502,0.819,229.625,78.87,74.096,9.771,9.886,11.186,0.465,0.326,0.02,1.05,26.755,28.211,31.223,1
Slovenia,2.68,0.874,86.132,83.49,22.77,10.226,9.222,10.755,0.621,-0.15,0.484,1.054,27.536,29.778,31.456,1
Solomon Islands,6.4,1.284,95.725,75.36,146.093,11.151,5.925,4.377,2.822,2.829,2.324,1.07,31.456,29.43,30.433,3
Somalia,7.25,1.742,4236.492,64.06,199.933,20.393,13.584,8.834,1.708,0.815,2.931,1.03,32.158,30.419,28.611,3
South Africa,6.05,0.912,5464.481,67.86,129.615,11.176,14.382,9.498,2.151,2.276,1.101,1.03,31.106,28.19,28.704,1
South Sudan,6.65,1.388,2661.376,66.27,248.215,25,13.608,8.517,1.134,-1.101,4.326,1.04,29.247,30.065,29.037,3
Spain,2.53,0.776,1786.613,84.62,62.691,8.069,8.538,9.952,0.241,0.295,1.21,1.064,29.982,30.923,32.554,2
Sri Lanka,5.8,0.87,1361.234,78.29,89.028,6.681,6.386,8.27,1.373,1.032,0.679,1.044,29.195,29.223,30.689,3
State of Palestine,7.38,1.28,877.991,76.41,140.092,8.845,3.654,3.428,3.558,4.399,2.571,1.05,29.923,28.886,28.886,1
Sudan,6.65,1.445,8103.714,67.89,134.631,13.442,8.71,6.747,3.152,3.585,2.13,1.04,29.279,29.246,30.789,3
Suriname,6.56,0.898,45.826,72.16,77.51,7.387,7.17,8.213,1.85,1.704,1.06,1.08,27.275,28.289,29.17,1
Swaziland,6.7,0.997,187.483,66.57,173.757,14.248,14.283,8.459,4.004,2.185,1.681,1.03,30.013,28.393,27.484,3
Sweden,2.237,0.932,596.995,85.55,19.382,10.96,9.946,9.122,0.496,0.618,0.763,1.06,27.316,30.615,31.146,2
Switzerland,2.31,0.796,428.348,85.67,29.017,9.075,8.053,8.54,0.666,1.004,1.107,1.052,28.403,30.861,32.426,2
Syrian Arab Republic,7.227,0.951,2598.984,78.65,141.086,7.804,3.485,3.764,3.12,2.84,2.776,1.05,29.079,29.444,29.494,1
TFYR Macedonia,5.057,0.822,97.693,78.7,136.311,6.965,9.343,10.758,0.148,-0.13,0.101,1.054,28.427,27.345,30.703,1
Tajikistan,5.4,1.156,1235.187,73.02,160.001,10.544,5.735,5.077,3.044,1.742,2.175,1.07,29.315,27.877,27.733,3
Thailand,6.138,0.76,3096.02,78.41,127.398,7.784,7.158,9.528,1.673,1.003,0.538,1.064,30.799,27.077,28.78,1
Timor-Leste,6.441,1.448,265.951,73.04,264.422,27.948,6.265,4.705,2.399,2.95,1.557,1.05,29.763,30.866,29.945,3
Togo,6.334,1.378,1586.259,64.41,186.202,15.711,11.116,7.759,3.04,2.42,2.695,1.018,29.294,29.46,28.28,3
